Source,Target,% Overlap of Their Viewers
Atrioc,Atrioc,100
Atrioc,QTCinderella,15.20755063
Atrioc,mang0,14.42586063
Atrioc,ConnorEatsPants,13.73092553
Atrioc,Linkus7,10.86198306
Atrioc,PointCrow,10.72109612
Atrioc,Simply,10.07429008
Atrioc,btssmash,8.721581172
Atrioc,SmallAnt,8.178250594
Atrioc,ludwig,7.626741241
Atrioc,willneff,7.164791431
Atrioc,AustinShow,6.568850933
Atrioc,Maya,4.755147027
Atrioc,Hungrybox,4.195452411
Atrioc,Arcadum,4.031430111
Atrioc,moistcr1tikal,3.746281768
Atrioc,Mizkif,3.66285645
Atrioc,Northernlion,3.342839824
Atrioc,Jerma985,3.074620246
Atrioc,Nmplol,2.940188469
Atrioc,HasanAbi,2.821481432
Atrioc,BotezLive,2.790635091
Atrioc,pokelawls,2.211351854
Atrioc,Greekgodx,2.157229272
Atrioc,EsfandTV,1.930135104
Atrioc,39daph,1.826541626
Atrioc,Myth,1.72653982
Atrioc,lilypichu,1.691816191
Atrioc,Scarra,1.606223088
Atrioc,Trainwreckstv,1.504945422
Atrioc,sodapoppin,1.361974665
Atrioc,GMHikaru,1.321125282
Atrioc,pokimane,1.216830616
Atrioc,Sykkuno,0.958245856
Atrioc,xQcOW,0.81113611
Atrioc,LIRIK,0.778212054
Atrioc,loltyler1,0.68837294
Atrioc,Asmongold,0.659178254
Atrioc,shroud,0.598128018
Atrioc,summit1g,0.470630262
Atrioc,riotgames,0.434968668
Atrioc,Amouranth,0.346627755
Atrioc,AdinRoss,0.258201617
